,word,y1,y2
0,hello,,
1,south,,
2,carolina,,
3,i,,
4,want,,
5,thank,,
6,senat,,
7,for,,
8,overli,,
9,gener,,
10,word,,
11,humbl,,
12,think,,
13,josh,,
14,know,,
15,introduct,,
16,prefer,['fairness.vice'],['fairness.vice']
17,littl,,
18,bit,,
19,short,,
20,christian,,
21,conserv,,
22,republican,,
23,in,,
24,order,['authority.virtue'],['authority.virtue']
25,great,,
26,honor,['authority.virtue'],['authority.virtue']
27,one,,
28,effect,,
29,pro,,
30,famili,['loyalty.virtue'],['loyalty.virtue']
31,organ,,
32,unit,['loyalty.virtue'],['loyalty.virtue']
33,state,,
34,america,,
35,palmetto,,
36,let,,
37,hear,,
38,david,,
39,wilson,,
40,whole,,
41,team,,
42,support,,
43,extraordinari,,
44,group,['loyalty.virtue'],['loyalty.virtue']
45,back,,
46,home,,
47,mani,,
48,leader,['authority.virtue'],['authority.virtue']
49,admir,,
50,governor,,
51,henri,,
52,mcmaster,,
53,lindsey,,
54,graham,,
55,join,,
56,today,,
57,dear,,
58,friend,,
59,mine,,
60,day,,
61,congress,,
62,congressman,,
63,joe,,
64,us,,
65,tonight,,
66,champion,,
67,member,['loyalty.virtue'],['loyalty.virtue']
68,assembl,,
69,session,,
70,but,,
71,made,,
72,time,,
73,put,,
74,first,,
75,presenc,,
76,tim,,
77,scott,,
78,last,,
79,night,,
80,wow,,
81,spoke,,
82,near,,
83,met,,
84,decad,,
85,ago,,
86,ever,,
87,sinc,,
88,honestli,,
89,say,,
90,cool,,
91,truth,,
92,posit,['authority.virtue'],['authority.virtue']
93,vision,,
94,laid,,
95,american,,
96,peopl,,
97,gather,,
98,on,,
99,nation,['loyalty.virtue'],['loyalty.virtue']
100,televis,,
101,becom,,
102,transform,,
103,realli,,
104,so,,
105,good,['moral'],['moral']
106,unexpect,,
107,medic,,
108,procedur,,
109,week,,
110,doctor,,
111,clear,,
112,travel,,
113,miss,,
114,world,,
115,told,,
116,heart,,
117,actual,,
118,skip,,
119,beat,,
120,everi,,
121,unusu,,
122,happen,,
123,wife,,
124,karen,,
125,would,,
126,give,,
127,round,,
128,applaus,,
129,look,,
130,love,,
131,feel,,
132,grate,,
133,warm,,
134,welcom,,
135,came,,
136,two,,
137,reason,['fairness.virtue'],['fairness.virtue']
138,privileg,,
139,serv,['authority.virtue'],['authority.virtue']
140,vice,,
141,presid,,
142,alongsid,,
143,donald,,
144,trump,,
145,greatest,,
146,life,,
147,also,,
148,open,,
149,border,,
150,runaway,,
151,spend,,
152,plan,,
153,higher,,
154,tax,,
155,bigger,,
156,welfar,,
157,govern,,
158,defund,,
159,polic,,
160,abandon,"['care.vice', 'loyalty.vice']","['care.vice', 'loyalty.vice']"
161,right,['fairness.virtue'],['fairness.virtue']
162,cancel,,
163,cherish,,
164,liberti,,
165,come,,
166,vote,,
167,faith,,
168,freedom,,
169,limit,,
170,stand,,
171,up,,
172,behind,,
173,agenda,,
174,win,,
175,start,,
176,reflect,,
177,moment,,
178,accomplish,,
179,four,,
180,year,,
181,incred,,
182,rememb,,
183,final,,
184,convent,,
185,cleveland,,
186,nomine,,
187,car,,
188,head,,
189,airport,,
190,campaign,,
191,togeth,['loyalty.virtue'],['loyalty.virtue']
192,someon,,
193,coach,,
194,manag,,
195,sit,,
196,next,,
197,still,,
198,get,,
199,talk,,
200,mike,,
201,said,,
202,go,,
203,north,,
204,if,,
205,east,,
206,west,,
207,got,,
208,goe,,
209,indiana,,
210,whatev,,
