,stems,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice
67,know,1.271895e-06,6.6631364e-06,4.45496e-08,1.2463375e-09,0.0002895362,3.702611e-05,0.00010609693,3.9217664e-08
20032,yohannes,6.539158e-06,6.509249e-05,3.0372496e-06,4.6702617e-06,6.266125e-06,4.267031e-05,0.00010768433,3.4759203e-05
22903,rouhani,5.515308e-06,3.225902e-05,2.360492e-05,0.0004092588,2.283775e-06,7.1359623e-06,1.7435049e-06,9.00534e-05
12128,intrigued,0.00026495705,5.0765626e-05,9.796198e-06,3.366598e-05,1.7079525e-05,2.2125247e-05,6.1212904e-07,2.1316694e-06
7374,hamilton,1.9925597e-05,0.00039238637,6.0544194e-06,1.7188835e-05,7.3419187e-06,0.00013643071,6.17673e-06,2.977783e-05
22386,unsinger,8.035321e-06,7.787541e-06,0.000115284165,0.0004062589,1.5242077e-05,4.7723285e-07,4.9290496e-09,2.0403451e-05
4771,bidens,6.520824e-05,5.060794e-07,6.1014824e-09,1.2763488e-07,2.9764442e-05,1.2394219e-07,0.000106003616,6.222267e-09
1922,commitmenttoamerica,0.00026291164,6.984436e-06,2.813576e-06,8.035474e-05,2.0682623e-05,6.9986445e-06,2.2673682e-06,2.8962031e-06
6999,midland,4.964534e-05,5.438571e-06,6.9394895e-07,2.6161806e-06,5.9505866e-05,7.5575736e-06,0.00010729558,5.7955117e-07
1312,distant,2.990256e-05,1.2144503e-05,4.4623303e-05,0.00040901938,2.237801e-05,2.0282405e-06,7.030638e-08,1.9705321e-05
16920,silk,5.6454217e-05,2.8473241e-06,2.1588158e-07,1.3925445e-06,4.850788e-05,2.4643145e-06,0.00010678997,1.8125816e-07
1877,ransom,0.00026345678,9.585517e-06,3.7833424e-06,7.601834e-05,2.173094e-05,9.4046245e-06,2.1442713e-06,3.1041054e-06
20802,coalface,0.0002663725,1.2566431e-05,1.2706254e-05,3.89959e-05,4.891085e-05,5.3253647e-05,4.5579295e-06,7.5892067e-06
3232,direction,0.00026342453,1.1531864e-05,4.094414e-06,7.640706e-05,2.093272e-05,9.256969e-06,1.5398361e-06,3.108032e-06
13129,amendments,2.3496873e-06,3.9965767e-06,0.0006651555,4.2487347e-05,5.3334596e-05,5.022319e-05,9.908007e-07,6.1499915e-05
9137,tamped,3.878713e-06,1.6706772e-05,3.4499968e-05,0.00040880629,8.7756064e-07,1.7045213e-06,1.90921e-06,0.00012084979
1764,rebuild,4.250938e-05,1.0749725e-05,1.6349801e-06,4.2820043e-06,5.8414287e-05,1.9451194e-05,0.000107796724,2.1898413e-06
11910,verifications,8.087491e-09,3.6532064e-08,9.143952e-13,6.052294e-16,0.0011629206,2.3755936e-07,3.0364667e-05,5.5548963e-14
23868,shortlist,7.934798e-06,5.118681e-05,6.440146e-06,2.920409e-06,3.616635e-05,0.00013099147,0.00010828909,1.597552e-05
21934,tbi,4.6362853e-05,8.739771e-06,2.1166186e-05,0.00040641509,1.8960363e-05,9.599241e-07,4.3214385e-08,1.1604517e-05
3299,ocean,7.365382e-05,3.4565835e-07,1.4633045e-07,0.00039716696,9.0531034e-07,1.5068297e-09,2.9062652e-09,4.4004506e-07
7640,practitioner,1.1347196e-07,5.566346e-07,0.00066345424,1.76744e-06,2.5419833e-05,0.00015770599,1.4454574e-05,5.7889993e-05
17389,choosy,1.3143993e-05,2.5670417e-05,2.9932222e-05,0.00041038875,4.760956e-06,6.452525e-06,2.0721868e-06,6.1479586e-05
20698,bead,7.140184e-05,1.4251583e-06,7.240119e-07,0.00039815818,2.5204486e-06,1.966003e-08,9.5758015e-09,1.4314784e-06
1498,cost,1.5623622e-05,2.0246243e-05,1.5779722e-05,9.360369e-06,6.179449e-05,0.00011765848,0.00010881263,1.2904068e-05
